Nombre de catálogo,Nombre de categoría,Nombre de artículo,Descripción de artículo,Artículo - Unidad de medida principal,Artículo - Permite stock,Estado de artículo,PK_PZASTARIMA,PZAS/PAQUETE
DESECHABLES,ALIMENTOS,PH8BIO-PQ500,PH8BIO-PQ500 PLATO TERMICO BIODEGRADABLE PH8 REYMA 20 PAQUETES DE 25 PIEZAS / 500 PZS,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,PLABGZ090MSND,PLATO BAGAZO 90 MM LISO,PAQUETE,Y,Activo,84,1
DESECHABLES,ALIMENTOS,PLABGZ090MSND-CJ,PLABGZ090MSND-CJ PLATO BAGAZO 90 MM LISO 2 PAQUETES DE 250 PIEZAS,CAJA,Y,Activo,,
DESECHABLES,ALIMENTOS,POCESCO22BIO,POPOTE BIODEGRADABLE CAJA ESTUCHADO CORRUGADO 22 CM 4 CJS/500 PZAS,CAJILLA,Y,Activo,,1
DESECHABLES,ALIMENTOS,POCESCO22BIO-CJ2000,POCESCO22BIO-CJ2000 POPOTE BIODEGRADABLE CAJA ESTUCHADO CORRUGADO 22 CM 4 CAJILLAS DE 500 PIEZAS / 2000 PZS,CAJA,Y,Activo,,
DESECHABLES,ALIMENTOS,POGESCO22BIO,POPOTE BIODEGRADABLE GRANEL ESTUCHADO CORRUGADO 22 CM 1 CJ/2000   PZAS,CAJA,Y,Activo,,1
DESECHABLES,ALIMENTOS,POGESCO22BIO-CJ2000,POGESCO22BIO-CJ2000 POPOTE BIODEGRADABLE GRANEL ESTUCHADO CORRUGADO 22 CM 1 CJ/2000 PZAS PAQUETE CON 2000 PZS,CAJA,Y,Activo,,
DESECHABLES,ALIMENTOS,PT006BIO,PLATO TERMICO BIODEGRADABLE 6 REYMA 20 PAQ/25 PZAS,PAQUETE,Y,Activo,,1
DESECHABLES,ALIMENTOS,PT006BIO-PQ500,PT006BIO-PQ500 PLATO TERMICO BIODEGRADABLE 6 REYMA 20 PAQUETE DE 25 PIEZAS / 500 PZS,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,TCBVT8,TAPA CAPUCHINO VASO TERMICO No.8 20 PAQ. CON 50 PZAS,PAQUETE,Y,Activo,500,50
DESECHABLES,ALIMENTOS,TCNVT10,TAPA CAPUCHINO NEGRA PARA VASO TÉRMICO NO.10,PAQUETE,Y,Activo,500,50
DESECHABLES,ALIMENTOS,TP,TENEDOR PASTELERO,PAQUETE,Y,Activo,,1
DESECHABLES,ALIMENTOS,TP10,TAPA LISA PARA VASO POLIPRO NO. 10,PAQUETE,Y,Activo,,1
DESECHABLES,ALIMENTOS,TP10-PQ1000,TP10-PQ1000 TAPA LISA PARA VASO POLIPRO NO.10 20 PAQUETES DE 50 PIEZAS / 1000 PZAS,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,TP32EUR,TAPA RANURA PARA VASO POLIPRO NO. 32 EU PAQUETE CON 25 PZ,PAQUETE,Y,Activo,,20
DESECHABLES,ALIMENTOS,TP32EUR-PQ500,TP32EUR-PQ500 TAPA RANURA PARA VASO POLIPRO NO. 32 EU 20 PAQUETES DE 25 PIEZAS / 500 PZAS,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,TP4A8,TAPA LISA PARA VASO POLIPRO NO. 4A/8 50 pz,PAQUETE,Y,Activo,,1
DESECHABLES,ALIMENTOS,TP4A8-PQ1000,TP4A8-PQ1000 TAPA LISA PARA VASO POLIPRO NO. 4A/8 1000 PZAS,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,TP51/24CH,TAPA LISA P/VASO POLIPRO NO 51/2/4CH REYMA 20 PAQ/50 PZAS,PAQUETE,Y,Activo,500,1
DESECHABLES,ALIMENTOS,TPDEU,TAPA DOMO P/LINEA EU REYMA,PAQUETE,Y,Activo,500,1
DESECHABLES,ALIMENTOS,TPDEU-PQ1000,TPDEU-PQ1000 TAPA DOMO P/LINEA EU REYMA 20 PAQ / 50 PZAS,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,TPEUR,TAPA RANURADA P/LINEA EU REYMA 20 PAQ/50 PZAS,PAQUETE,Y,Activo,500,1
DESECHABLES,ALIMENTOS,TPEUR-PQ1000,TPEUR-PQ1000 TAPA RANURADA P/LINEA EU REYMA 20 PAQ/50 PZAS,PAQUETE,Y,Activo,,1000
DESECHABLES,ALIMENTOS,TR,TAPA REYMA LISA PARA ENVASES,PAQUETE,Y,Activo,500,1
DESECHABLES,ALIMENTOS,TVT10,TAPA LISA P/VASO TERMICO NO 10 REYMA 20 PAQ/50 PZAS,PAQUETE,Y,Activo,500,1
DESECHABLES,ALIMENTOS,TVT10-PQ1000,TVT10-PQ1000 TAPA LISA P/VASO TERMICO NO 10 REYMA 20 PAQ/50 PZAS,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,TVT1LTR,TAPA RANURADA P/VASO TERMICO 1 Y 1/2 LITRO REYMA 20PAQ/25 PZAS,PAQUETE,Y,Activo,500,1
DESECHABLES,ALIMENTOS,TVT1LTR-PQ25,TVT1LTR-PQ25 TAPA RANURADA P/VASO TERMICO 1 Y 1/2 LITRO REYMA 1 PAQ/25 PZAS,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,TVT1LTR-PQ500,TVT1LTR-PQ500 TAPA RANURADA P/VASO TERMICO 1 Y 1/2 LITRO REYMA 20 PAQ/25 PZAS,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,VP10,VASO POLIPRO NO 10 REYMA 20 PAQ / 50 PZAS,PAQUETE,Y,Activo,,1
DESECHABLES,ALIMENTOS,VP10-PQ1000,VP10-PQ1000 VASO POLIPRO NO 10 REYMA 20 PAQ / 50 PZAS PAQUETE CON 1000 PZS,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,VP12,VASO POLIPRO NO 12 REYMA 20 PAQ / 50 PZAS,PAQUETE,Y,Activo,,1
DESECHABLES,ALIMENTOS,VP12-PQ1000,VP12-PQ1000 VASO POLIPRO NO 12 REYMA 20 PAQ DE 50 PZAS PAQUETE CON 1000 PZS,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,VP12EU,VASO POLIPRO NO 12 EU REYMA 20 PAQ / 50 PZAS,PAQUETE,Y,Activo,,1
DESECHABLES,ALIMENTOS,VP12EU-PQ1000,VP12EU-PQ1000 VASO POLIPRO NO 12 EU REYMA 20 PAQ / 50 PZAS PAQUETE CON 1000 PZS,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,VP14,VASO POLIPRO NO 14 REYMA,PAQUETE,Y,Activo,500,1
DESECHABLES,ALIMENTOS,VP14-PQ1000,VP14-PQ1000 VASO POLIPRO NO 14 REYMA 20 PAQ / 50 PZAS,PAQUETE,Y,Activo,,1000
DESECHABLES,ALIMENTOS,VP16EURJ,VASO POLIPRO NO 16 EU BICOLOR REYMA 20 PAQ / 25 PZAS,PAQUETE,Y,Activo,500,1
DESECHABLES,ALIMENTOS,VP16EURJ-PQ50,VP16EURJ-PQ50 VASO POLIPRO NO 16 EU BICOLOR REYMA 2 PAQUETES DE 25 PZAS / 50 PIEZAS,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,VP16EURJ-PQ500,VP16EURJ-PQ500 VASO POLIPRO NO 16 EU BICOLOR REYMA 20 PAQUETES DE 25 PIEZAS / 500 PIEZAS,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,VP16L,VASO POLIPRO NO 16 LARGO,PAQUETE,Y,Activo,,1
DESECHABLES,ALIMENTOS,VP16L-PQ1000,VP16L-PQ1000 VASO POLIPRO NO 16 LARGO 1000 PZAS,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,VP1OZ,VASO POLIPRO NO 1 ONZA REYMA 25 PAQ / 200 PZAS,PAQUETE,Y,Activo,500,1
DESECHABLES,ALIMENTOS,VP24EU,VASO POLIPRO NO 24 EU REYMA 20 PAQ / 25 PZAS,PAQUETE,Y,Activo,500,1
DESECHABLES,ALIMENTOS,VP24EU-PQ500,VP24EU-PQ500 VASO POLIPRO NO 24 EU REYMA 20 PAQ / 25 PZAS,PAQUETE,Y,Activo,,500
DESECHABLES,ALIMENTOS,VP32EU,VASO POLIPRO NO 32 EU REYMA 25 PZAS,PAQUETE,Y,Activo,,1
DESECHABLES,ALIMENTOS,VP32EU-PQ500,VP32EU-PQ500 VASO POLIPRO NO 32 EU REYMA 20 PAQ / 25 PZAS PAQUETE CON 500 PZS,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,VP4A,VASO POLIPRO NO 4 ANCHO REYMA 20 PAQ / 50 PZAS,PAQUETE,Y,Activo,,1
DESECHABLES,ALIMENTOS,VP4A-PQ1000,VP4A-PQ1000 VASO POLIPRO NO 4 ANCHO REYMA 20 PAQ / 50 PZAS PAQUETE CON 1000 PZS,PAQUETE,Y,Activo,,1000
DESECHABLES,ALIMENTOS,VP4CH,VASO POLIPRO NO 4 CHICO REYMA 20 PAQ / 50 PZAS,PAQUETE,Y,Activo,,1
DESECHABLES,ALIMENTOS,VP4CH-PQ1000,VP4CH-PQ1000 VASO POLIPRO NO 4 CHICO REYMA 20 PAQ / 50 PZAS PAQUETE CON 1000 PZS,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,VP51/2,VASO POLIPRO NO 5 1/2 REYMA 20 PAQ / 50 PZAS,PAQUETE,Y,Activo,1000,1
DESECHABLES,ALIMENTOS,VP8,VASO POLIPRO NO 8 REYMA 20 PAQ / 50 PZAS,PAQUETE,Y,Activo,,1
DESECHABLES,ALIMENTOS,VP8-PQ1000,VP8-PQ1000 VASO POLIPRO NO 8 REYMA 20 PAQ / 50 PZAS PAQUETE CON 1000 PZS,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,VT1/2LT,VASO TERMICO NO 1/2 LITRO REYMA 20 PAQ / 25 PZAS,PAQUETE,Y,Activo,500,1
DESECHABLES,ALIMENTOS,VT1/2LT-PQ500,VT1/2LT-PQ500 VASO TERMICO NO 1/2 LITRO REYMA 20 PAQ / 25 PZAS,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,VT10,VASO TERMICO NO 10 REYMA PAQ DE 25 PZAS,PAQUETE,Y,Activo,500,1
DESECHABLES,ALIMENTOS,VT10-PQ1000,VT10-PQ1000 VASO TERMICO NO 10 REYMA 40 PAQUETES DE 25 PIEZAS / 1000 PIEZAS,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,VT1LT,VASO TERMICO NO 1 LITRO REYMA 20 PAQ / 15 PZAS,PAQUETE,Y,Activo,500,1
DESECHABLES,ALIMENTOS,VT1LT-PQ300,VT1LT-PQ300 VASO TERMICO NO 1 LITRO REYMA 20 PAQUETES DE 15 PZAS / 300 PIEZAS,PAQUETE,Y,Activo,,
DESECHABLES,ALIMENTOS,VT8BIO,VASO TERMICO No. 8 BIODEGRADABLE 40 PAQ. CON 25 PZAS,PAQUETE,Y,Activo,1000,25
EMP CINTA,ACCESORIOS-C,DC110,DESPACHADOR PLASTICO DE CINTA,PIEZA,Y,Activo,,1
EMP CINTA,ACCESORIOS-C,DC110-PZ,DC110-PZ DESPACHADOR PLASTICO DE CINTA PAQUETE CON 1,PIEZA,Y,Activo,1,1
EMP CINTA,ACCESORIOS-C,DP2,DESPACHADOR DE CINTA METÁLICO,PIEZA,Y,Activo,,1
EMP CINTA,ACCESORIOS-C,DP2-PZ,DP2-PZ DESPACHADOR DE CINTA MET?LICO PAQUETE CON 1,PIEZA,Y,Activo,1,1
EMP CINTA,ADHESIVA,C48130C3,CINTA AUTOADHERIBLE 48X130 AZUL,PIEZA,Y,Activo,2592,37
EMP CINTA,ADHESIVA,C48130C7,CINTA AUTOADHERIBLE 48X130 BLANCA,PIEZA,Y,Activo,2592,36
EMP CINTA,ADHESIVA,CBB910,"CINTA BLITZ BLANCA 144 X 910 MT ",PIEZA,Y,Activo,,36
EMP CINTA,ADHESIVA,CCB150,CINTA CANELA BLITZ 48 X 150 MT,PIEZA,Y,Activo,2592,36
EMP CINTA,ADHESIVA,CCB150-CJ36,CCB150-CJ CINTA CANELA BLITZ 48 X 150 MT Paquete con 36 piezas,CAJA,Y,Activo,,
EMP CINTA,ADHESIVA,CCB150-PQ6,CCB150-PQ CINTA CANELA BLITZ 48 X 150 MT Paquete con 6 piezas,PAQUETE,Y,Activo,,
EMP CINTA,ADHESIVA,CCB72100,CINTA CANELA BLITZ  72 X 100 MT,PIEZA,Y,Activo,1728,24
EMP CINTA,ADHESIVA,CI736075A,"CINTA IMPRESA ""BOTANAS Y FRITURAS DE LOS ALTOS DE CHIAPAS SA DE CV"" - 736075",PIEZA,Y,Activo,1800,36
EMP CINTA,ADHESIVA,CTB100,CINTA BLITZ TRANSPARENTE 048 X100 MT,PIEZA,Y,Activo,2592,36
EMP CINTA,ADHESIVA,CTB100-CJ36,CTB100-CJ CINTA BLITZ TRANSPARENTE 048 X100 MT Paquete con 36 piezas,CAJA,Y,Activo,,
EMP CINTA,ADHESIVA,CTB100-PQ6,CTB100-PQ CINTA BLITZ TRANSPARENTE 048 X100 MT Paquete con 6 piezas,PAQUETE,Y,Activo,,
EMP CINTA,ADHESIVA,CTB100-PZ,CTB100-PZ CINTA BLITZ TRANSPARENTE 048 X100 MT PAQUETE CON 1 PZ,PIEZA,Y,Activo,,
EMP CINTA,ADHESIVA,CTB150,CINTA TRANSPARENTE BLITZ 048 X150 MTS,PIEZA,Y,Activo,2592,36
EMP CINTA,ADHESIVA,CTB150-CJ36,CTB150-CJ CINTA TRANSPARENTE BLITZ 048 X150 MT PAQUETE CON 36 PZS,CAJA,Y,Activo,,
EMP CINTA,ADHESIVA,CTB150-PQ6,CTB150-PQ CINTA TRANSPARENTE BLITZ 048 X150 MT PAQUETE CON 6 PZS,PAQUETE,Y,Activo,,
EMP CINTA,ADHESIVA,CTB150-PZ,CTB150-PZ CINTA TRANSPARENTE BLITZ 048 X150 MT PAQUETE CON 1 PZ,PIEZA,Y,Activo,,
EMP CINTA,ADHESIVA,CTB24100,CINTA BLITZ TRANSPARENTE 24X100 MT,PIEZA,Y,Activo,5184,36
EMP CINTA,ADHESIVA,CTB48150,CINTA TRANSPARENTE BLITZ 048 X150 MT,PIEZA,Y,Activo,2592,36
EMP CINTA,ADHESIVA,CTB72100,CINTA TRASNPARENTE 72mm x 100m SERIE R,PIEZA,Y,Activo,1728,24
EMP CINTA,ADHESIVA,CTB72100-CJ24,CTB72100-CJ CINTA TRASNPARENTE 72mm x 100m SERIE R PAQUETE CON 24 PZS,CAJA,Y,Activo,,
EMP CINTA,ADHESIVA,CTB72100-PQ6,CTB72100-PQ CINTA TRASNPARENTE 72mm x 100m SERIE R PAQUETE CON 6 PZS,PAQUETE,Y,Activo,,
EMP CINTA,ADHESIVA,CTB72100-PZ,CTB72100-PZ CINTA TRASNPARENTE 72mm x 100m SERIE R PAQUETE CON 1 PZ,PIEZA,Y,Activo,,
EMP CINTA,ADHESIVA,CTB910,"CINTA BLITZ TRANSPARENTE 144 X 910 MT ",PIEZA,Y,Activo,432,36
EMP CINTA,ADHESIVA,CTBH150,CINTA TRANSPARENTE HD BLITZ 150 MT,PIEZA,Y,Activo,2592,36
EMP CINTA,ADHESIVA,CTBH150-CJ36,CTBH150-CJ CINTA TRANSPARENTE HD BLITZ 150 MT PAQUETE CON 36 PZS,CAJA,Y,Activo,,
EMP CINTA,ADHESIVA,CTBH150-PQ6,CTBH150-PQ CINTA TRANSPARENTE HD BLITZ 150 MT PAQUETE CON 6 PZS,PAQUETE,Y,Activo,,
EMP CINTA,ADHESIVA,CTBH72100,CINTA TRANSPARENTE BLITZ HD 72 X 100 MT,PIEZA,Y,Activo,1720,24
EMP CINTA,ADHESIVA,CTBH72914,CINTA TRANSPARENTE BLITZ HD 72 X 914 MT,PIEZA,Y,Activo,432,6
EMP CINTA,ADHESIVA,CTBH900,CINTA TRANSPARENTE BLITZ HD 48 X 900 MT,PIEZA,Y,Activo,,6
EMP CINTA,ADHESIVA,CTBHP72100,CINTA TRANSPARENTE BLITZ HD PLUS 72 X 100 MT,PIEZA,Y,Activo,1720,24
EMP CINTA,ADHESIVA,CTE150,CINTA TRANSPARENTE ECOPRODUCTS 048 X150 MT,PIEZA,Y,Activo,2592,36
EMP CINTA,ADHESIVA,KIT_CCB150PQ/DC110-CJ,"KIT_CCB150PQ/DC110-CJ KIT CINTA CANELA R 48 mm x 150 m PAQUETE 6 PIEZAS, DESPACHADOR PLASTICO",KIT,Y,Activo,,
EMP CINTA,ADHESIVA,KIT_CTB150PQ/DC110-CJ,"KIT_CTB150PQ/DC110-CJ KIT CINTA TRANSPARENTE R 48 mm x 150 PAQUETE 6 PIEZAS, DESPACHADOR PLASTICO",KIT,Y,Activo,,
EMP CINTA,ADHESIVA,KIT_CTB150PZ/DC110-CJ,"KIT_CTB150PZ/DC110-CJ KIT CINTA TRANSPARENTE R 48 mm x 150 PIEZA, DESPACHADOR PLASTICO",KIT,Y,Activo,,
EMP CINTA,ADHESIVA,KIT_CTB150PZ/DP2-CJ,"KIT_CTB150PZ/DP2-CJ KIT DE CINTA TRANSPARENTE R 48 mm x 150 PIEZA, DESPACHADOR METALICO",KIT,Y,Activo,,
EMP CINTA,ADHESIVA AUTOMÁTICA,CTBH914,CINTA TRANSPARENTE BLITZ HD 48 X 914 MT,PIEZA,Y,Activo,432,6
EMP CINTA,ADHESIVA AUTOMÁTICA,CTBH914-CJ6,6T-PEK3-XKZB CINTA TRANSPARENTE BLITZ HD 48 X 914 MT PAQUETE CON 6 PZS,CAJA,Y,Activo,,
EMP CINTA,ADHESIVA AUTOMÁTICA,CTNH914,CINTA TRANSPARENTE NACIONAL HD 48 X 914 MT,PIEZA,Y,Activo,,6
EMP CINTA,BOPP IMPRESA,CI1035081A,CINTA DE PAPEL IMPRESA ACTIVADA POR AGUA - VAZQUEZ PARADA HORACIO - 1035081,PIEZA,Y,Activo,720,10
EMP CINTA,BOPP IMPRESA,CI16886A,CINTA DE PAPEL IMPRESA ACTIVADA POR AGUA - TRAMONTINA DE MEXICO SA DE CV,PIEZA,Y,Activo,600,1
EMP CINTA,BOPP IMPRESA,CI690063A,CINTA IMPRESA GRUPO DECME SA DE CV - 690063,PIEZA,Y,Activo,2160,36
EMP CINTA,BOPP IMPRESA,CIB16163,CINTA IMPRESA PRODIN CENTRO,PIEZA,Y,Activo,2592,36
EMP CINTA,BOPP IMPRESA,CIFRAGIL,CINTA IMPRESA 45mic x 48mm x 150m,PIEZA,Y,Activo,2592,36
EMP CINTA,BOPP IMPRESA,CIFRAGIL-CJ36,CIFRAGIL-CJ36 45mic x 48mm x 150m Printed tape Paquete con 36 piezas,CAJA,Y,Activo,2592,36
EMP CINTA,BOPP IMPRESA,CIFRAGIL-PQ6,CIFRAGIL-PQ6 45mic x 48mm x 150m Printed tape Paquete con 6 piezas,PAQUETE,Y,Activo,,
EMP CINTA,BOPP IMPRESA,CIFRAGIL-PZ,CIFRAGIL-PZ 45mic x 48mm x 150m Printed tape,PIEZA,Y,Activo,,
EMP CINTA,BOPP IMPRESA,CIT16392,CINTA IMPRESA TRANSPARENTE BLITZ,PIEZA,Y,Activo,2592,36
EMP CINTA,BOPP IMPRESA,CIT16801,CINTA IMPRESA TRANSPARENTE BLITZ,PIEZA,Y,Activo,2592,36
EMP CINTA,BOPP IMPRESA,CIT366005,CINTA IMPRESA TRANSPARENTE BLITZ,PIEZA,Y,Activo,2592,36
